Date,Year,Month,# drugs,# price changes,# price changes (%),TRx weighted WAC,Sales weighted WAC,M/M Percent change,Y/Y Percent change
2015-01-01,2015,1,908,474,0.5220264317180616,72.57272471917057,4123.458878632247,0.015581104716514194,0.0
2015-02-01,2015,2,908,65,0.07158590308370044,76.18048158981817,4193.0294925550625,0.016871906807008452,0.0
2015-03-01,2015,3,908,61,0.0671806167400881,78.28039093970646,4264.554599861083,0.017058097834278918,0.0
2015-04-01,2015,4,908,54,0.05947136563876652,80.39010238582215,4221.435067967725,-0.010111145462825655,0.0
2015-05-01,2015,5,908,62,0.06828193832599119,77.65501788268692,4376.901532975904,0.03682787073710059,0.0
2015-06-01,2015,6,908,145,0.15969162995594713,86.21112616531104,4636.7327541159675,0.059364191582212955,0.0
2015-07-01,2015,7,908,137,0.15088105726872247,83.12170016868232,4460.515755256858,-0.03800456230794924,0.0
2015-08-01,2015,8,908,61,0.0671806167400881,83.98478379887204,4337.764502007805,-0.02751952015961079,0.15902875900399208
2015-09-01,2015,9,908,49,0.053964757709251104,90.7551295373633,4239.285344521653,-0.022702744107147677,0.16893729946934954
2015-10-01,2015,10,908,79,0.08700440528634361,92.73385486522486,3897.537040353576,-0.08061460279141441,0.16440739883265068
2015-11-01,2015,11,908,41,0.04515418502202643,89.8486687522713,4277.953980823006,0.09760444519981237,0.1282871207855319
2015-12-01,2015,12,908,108,0.11894273127753303,89.82261406284101,4475.278446211227,0.04612589716317128,0.14164993161825493
2016-01-01,2016,1,908,420,0.46255506607929514,86.59473710258673,4755.163023132962,0.06254014812389719,0.17523593952000432
2016-02-01,2016,2,908,28,0.030837004405286344,92.89457872198211,4977.736220838029,0.046806638725589655,0.17608014960494878
2016-03-01,2016,3,908,35,0.03854625550660793,93.86752370712045,5056.307458672454,0.01578453223485532,0.1734582253616475
2016-04-01,2016,4,908,74,0.08149779735682819,92.0692044218702,5235.964758786377,0.03553132430777706,0.14976159434219535
2016-05-01,2016,5,908,13,0.014317180616740088,95.38257622025158,5291.396524896324,0.01058673399528276,0.12599541446767293
2016-06-01,2016,6,908,140,0.15418502202643172,100.77787621844753,5299.263685703438,0.0014867834550100767,0.1515348400993286
2016-07-01,2016,7,908,107,0.11784140969162996,97.71682736824972,5211.882933156052,-0.01648922524522134,0.16625893723662313
2016-08-01,2016,8,908,37,0.040748898678414094,103.56023160788229,5207.113702109669,-0.0009150687203740571,0.13717937657482734
2016-09-01,2016,9,908,16,0.01762114537444934,103.347719870385,4887.136623801419,-0.06144998872957419,0.12078630835363427
2016-10-01,2016,10,908,49,0.053964757709251104,105.30300992518606,4868.772999028918,-0.0037575427466188804,0.11736751146476695
2016-11-01,2016,11,908,6,0.006607929515418502,104.50584138826123,5058.171332693837,0.03890062931722116,0.11478005997932013
2016-12-01,2016,12,908,56,0.06167400881057269,99.53920184367983,5299.771485999559,0.047764327741158796,0.10625651244087796
