Date,A.C.T.H.,A05A1 CHOLERETICS+CHOLEKINETIC,ADHD,ALL OTHER RESPIRATORY,ALL OTHER THERAPEUTICS,ALL OTHER UROLOGICAL,"ALLERGY, SYSTEMIC & NASAL",ANTI-ALZHEIMERS,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,"ANTI-OBESITY PREPS, EXCL. DIETETICS","ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ANTI-ULCERANTS,ANTIBACTERIALS,ANTICOAGULANTS,ANTIDIABETICS,ANTIGOUT PREPS,"ANTIHYPERTENSIVES, PLAIN & COMBO",ANTITUBERCULARS,"ANTIVIRALS, HERPES",BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,BLOOD COAGULATION,BPH (BENIGN PROSTATIC HYPERTROPHY),"CANCER DETOX AG, ANTI-NAUSEANTS","CORTICOSTEROIDS, PLAIN & COMBO","COUGH COLD, INCL FLU ANTIVIRALS",DERMATOLOGICS,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,DIETETICS,EAR TREATMENTS&EYE-EAR COMBOS,ERECTILE DYSFUNCTION,ERYTHROPOIETINS,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,GI PRODUCTS,GROWTH HORMONES,HEMATOPOIETIC GROWTH FACTORS,HIV ANTIVIRALS,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",HOSPITAL SOLUTIONS,HYPOTHALAMIC HORMONES,IMAGING,IMMUNOLOGY,IMMUNOSUPPRESSANTS,"INTERFERONS, EXCL MS MARKET",J07D6 TUBERCULOSIS VACCINES,LABOUR INDUCERS,LIPID REGULATORS,MENTAL HEALTH,MIOTICS+ANTIGLAUCOMA PREPS,MULTIPLE SCLEROSIS,"NASAL PREPS, TOPICAL",NERVOUS SYSTEM DISORDERS,OCULAR ANTINEOVASCULARISATION,ONCOLOGICS,"OPHTHALMOLOGY, GENERAL",OSTEOPOROSIS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER CARDIOVASCULARS,OTHER CNS,OTHER HAEMATOLOGICALS,OTHER HORMONES,OTHER WOMEN'S HEALTH,PAIN,POLYVAL IMMUNOGLOBLULINS IV&IM,RESP ANTIVIRALS EX FLU,RESPIRATORY AGENTS,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,SYST ANTIFUNGALS,THROMBOPOIETIN AGONISTS,THYROID ANTI-THYROID AND IODINE PREPS,URINARY INCONTINENCE,"VACCINES (PURE, COMB, OTHER)",VIRAL HEPATITIS,VITAMINS & MINERALS
2018_07,1861.0,1.0,978022.0,17960.0,53377.0,29640.0,5553.0,96999.0,1942.0,101904.0,268611.0,36098.0,528041.0,37645.0,2409991.0,7687813.0,106384.0,1009724.0,942.0,4033.0,11.0,9050.0,40604.0,3755.0,10994.0,1605.0,408947.0,3662.0,225.0,10543.0,470272.0,28420.0,13953.0,696121.0,1542.0,7499.0,763663.0,690862.0,120.0,20659.0,0.0,696264.0,38188.0,837.0,281.0,1523.0,280876.0,961266.0,775009.0,175313.0,121728.0,1239729.0,1299.0,194280.0,615319.0,44900.0,1846.0,344450.0,1106444.0,1361.0,582.0,1952.0,657383.0,786.0,162.0,6271851.0,417350.0,6.0,6882.0,4932.0,1483602.0,491954.0,852506.0,44520.0,336.0
2018_08,1843.0,1.0,1123329.0,18897.0,56845.0,30807.0,5303.0,93175.0,1942.0,104497.0,265527.0,41486.0,539418.0,37596.0,2460903.0,7890294.0,109160.0,1055001.0,1165.0,4214.0,9.0,8387.0,49244.0,3586.0,12680.0,2726.0,450726.0,3603.0,202.0,9310.0,476136.0,29440.0,15220.0,726317.0,1579.0,8200.0,781329.0,705374.0,119.0,20448.0,0.0,736275.0,38593.0,796.0,289.0,1381.0,283053.0,1000544.0,791678.0,177526.0,131547.0,1270725.0,1286.0,203061.0,650361.0,46536.0,2087.0,349560.0,1195976.0,1480.0,632.0,1872.0,734395.0,735.0,474.0,6690320.0,432969.0,6.0,6982.0,5133.0,1536415.0,504659.0,1085098.0,46012.0,341.0
2018_09,1676.0,1.0,1044534.0,17357.0,53714.0,27709.0,4605.0,82680.0,1642.0,94859.0,239690.0,34072.0,489277.0,31549.0,2300616.0,7261058.0,99160.0,952001.0,1139.0,3832.0,8.0,6930.0,42957.0,3143.0,10666.0,7612.0,373358.0,3020.0,169.0,7164.0,412547.0,25713.0,13693.0,661078.0,1398.0,7135.0,705030.0,638287.0,110.0,18267.0,0.0,646278.0,34262.0,779.0,272.0,1069.0,253621.0,911291.0,725782.0,155261.0,116985.0,1163865.0,1422.0,181731.0,579289.0,42325.0,1770.0,318115.0,1089806.0,1334.0,582.0,1617.0,679296.0,655.0,844.0,6237937.0,393675.0,4.0,6094.0,4800.0,1392202.0,465198.0,1392199.0,40354.0,313.0
2018_10,1944.0,2.0,1170422.0,20257.0,62779.0,30296.0,4957.0,88189.0,1886.0,105421.0,268735.0,25583.0,536195.0,33457.0,2539227.0,7951571.0,108818.0,1047823.0,1294.0,4152.0,6.0,7302.0,44909.0,3444.0,11935.0,14067.0,438380.0,3169.0,195.0,7203.0,239842.0,29723.0,15522.0,741262.0,1829.0,8522.0,788851.0,683284.0,137.0,25235.0,0.0,784691.0,38642.0,853.0,300.0,1002.0,285611.0,1016923.0,809921.0,174263.0,133699.0,1276732.0,1806.0,214700.0,651012.0,48688.0,2178.0,354965.0,1211651.0,1340.0,662.0,1646.0,796066.0,762.0,8818.0,7033815.0,438700.0,9.0,6676.0,5670.0,1524704.0,515944.0,17048146.0,47879.0,377.0
2018_11,1641.0,3.0,1113528.0,18656.0,61151.0,28845.0,4292.0,79923.0,1695.0,101398.0,244484.0,22487.0,505671.0,31838.0,2425891.0,7606077.0,102759.0,998238.0,1272.0,4287.0,17.0,6400.0,45580.0,2986.0,10971.0,17236.0,413312.0,2654.0,158.0,6275.0,184255.0,27243.0,14363.0,708646.0,1715.0,7715.0,741945.0,646924.0,119.0,24671.0,0.0,705705.0,35141.0,752.0,256.0,799.0,261909.0,975748.0,769516.0,150560.0,120918.0,1196911.0,2063.0,197168.0,610733.0,45615.0,1991.0,342618.0,1154285.0,1286.0,582.0,1588.0,758550.0,685.0,47340.0,6797986.0,414418.0,6.0,6123.0,5106.0,1451064.0,488220.0,6390694.0,44407.0,334.0
2018_12,1610.0,3.0,1067065.0,18639.0,64764.0,29394.0,4025.0,77020.0,1656.0,103080.0,245002.0,21643.0,510050.0,30942.0,2486853.0,7787161.0,103150.0,1006281.0,1305.0,4464.0,11.0,5838.0,30543.0,2909.0,11696.0,53620.0,423659.0,2707.0,217.0,6091.0,167926.0,26955.0,14170.0,716028.0,1602.0,7024.0,730743.0,649781.0,137.0,18161.0,1.0,709853.0,33558.0,708.0,252.0,788.0,257648.0,983780.0,784986.0,146089.0,123248.0,1193847.0,2147.0,188409.0,580624.0,45591.0,1850.0,353059.0,1122071.0,1225.0,639.0,1597.0,771155.0,696.0,57312.0,6928951.0,405428.0,5.0,6380.0,5149.0,1461753.0,492735.0,2526348.0,41365.0,334.0
2019_01,1858.0,2.0,1114599.0,19585.0,61290.0,28215.0,3694.0,73276.0,1647.0,103384.0,233472.0,23350.0,498556.0,30106.0,2698621.0,7935648.0,103646.0,1041319.0,1279.0,4293.0,10.0,5473.0,19513.0,2244.0,14352.0,116112.0,362983.0,3410.0,534.0,6207.0,139236.0,28904.0,14323.0,703715.0,1761.0,7470.0,762948.0,667479.0,164.0,26732.0,0.0,756665.0,31505.0,764.0,284.0,781.0,260008.0,998821.0,777244.0,152624.0,111505.0,1202966.0,3069.0,198395.0,568110.0,45255.0,2053.0,359384.0,1226341.0,1739.0,458.0,1434.0,738111.0,753.0,61398.0,6927395.0,395048.0,5.0,5921.0,5217.0,1480684.0,503772.0,1867116.0,44468.0,364.0
2019_02,1824.0,0.0,1034662.0,17330.0,55520.0,24915.0,3089.0,59801.0,1467.0,92002.0,205763.0,20658.0,442403.0,26383.0,2358678.0,7058416.0,91084.0,914558.0,1192.0,3713.0,2.0,4784.0,15472.0,1745.0,11586.0,224239.0,303917.0,3860.0,658.0,5477.0,116486.0,29552.0,12961.0,634028.0,1443.0,6742.0,687875.0,589989.0,0.0,27969.0,0.0,696434.0,27230.0,734.0,291.0,688.0,229924.0,902578.0,679651.0,134639.0,99547.0,1080021.0,2573.0,183188.0,510484.0,40934.0,1767.0,333188.0,1085500.0,1593.0,388.0,1349.0,671224.0,799.0,53258.0,5613077.0,351148.0,0.0,5233.0,4942.0,1319884.0,446400.0,1190183.0,41721.0,328.0
2019_03,1940.0,0.0,1131423.0,17920.0,62565.0,27076.0,3421.0,61961.0,1770.0,101560.0,56073.0,22017.0,481925.0,28288.0,2618519.0,7798617.0,96571.0,998513.0,1333.0,3971.0,4.0,4994.0,15759.0,1675.0,12396.0,128897.0,333754.0,4713.0,833.0,6049.0,116227.0,30308.0,14142.0,704771.0,1490.0,6877.0,742960.0,645502.0,126.0,30353.0,0.0,741357.0,28350.0,741.0,213.0,656.0,247690.0,997331.0,743092.0,139320.0,113878.0,1172166.0,2529.0,191029.0,586706.0,43961.0,1902.0,302283.0,999417.0,1973.0,438.0,1599.0,753975.0,753.0,43648.0,5734306.0,383245.0,3.0,5624.0,5340.0,1423543.0,490659.0,1170666.0,44818.0,371.0
2019_04,2109.0,1.0,1141306.0,18490.0,62433.0,27116.0,3495.0,60644.0,1793.0,102653.0,233394.0,22074.0,477590.0,28048.0,2695482.0,7866756.0,94727.0,1023891.0,1452.0,3857.0,2.0,5338.0,13207.0,1883.0,12410.0,38924.0,344615.0,5239.0,902.0,5823.0,83149.0,31227.0,14300.0,712528.0,1664.0,7474.0,761329.0,644316.0,144.0,32401.0,0.0,816632.0,28860.0,801.0,147.0,596.0,252673.0,1026294.0,744982.0,148426.0,118073.0,1183493.0,2806.0,202724.0,584867.0,45422.0,2031.0,289487.0,932605.0,2174.0,496.0,1591.0,770946.0,860.0,7440.0,5611464.0,387049.0,22.0,5894.0,5673.0,1445748.0,495021.0,1110303.0,47138.0,372.0
2019_05,2123.0,2.0,1129344.0,19255.0,62227.0,27313.0,3330.0,59965.0,1768.0,104939.0,232955.0,22801.0,485173.0,26101.0,2738747.0,8056600.0,93593.0,1037420.0,1481.0,3813.0,1.0,6030.0,12244.0,2208.0,12764.0,12893.0,346960.0,5528.0,860.0,6238.0,76175.0,33950.0,14976.0,743911.0,1778.0,7456.0,770477.0,656558.0,159.0,34242.0,0.0,819099.0,28905.0,776.0,102.0,513.0,258956.0,1052625.0,763632.0,146062.0,114366.0,1210546.0,2727.0,202534.0,576427.0,46150.0,2005.0,294766.0,930776.0,2173.0,466.0,1570.0,764273.0,801.0,420.0,5482194.0,394364.0,8.0,6097.0,5691.0,1448497.0,447801.0,1219381.0,47469.0,340.0
2019_06,1789.0,1.0,962240.0,18278.0,56101.0,25774.0,2668.0,55164.0,1512.0,99372.0,216923.0,22827.0,449415.0,21363.0,2606245.0,7619349.0,86019.0,958868.0,1346.0,3497.0,0.0,4775.0,10948.0,2027.0,11163.0,5336.0,331194.0,5038.0,860.0,6615.0,66899.0,30875.0,13719.0,696765.0,1751.0,6615.0,718343.0,625256.0,146.0,30179.0,0.0,777015.0,26367.0,762.0,142.0,466.0,245556.0,984267.0,716844.0,133863.0,97839.0,1125518.0,2534.0,190559.0,525096.0,43351.0,1972.0,281277.0,826877.0,2043.0,420.0,1423.0,748985.0,782.0,58.0,4940744.0,368571.0,9.0,5704.0,5249.0,1341927.0,409585.0,1208497.0,43139.0,308.0
2019_07,1938.0,1.0,1011234.0,19877.0,61114.0,28074.0,2648.0,58714.0,1659.0,108491.0,229837.0,29625.0,476872.0,21743.0,2850212.0,8216877.0,50727.0,1035252.0,1465.0,3677.0,1.0,5157.0,10578.0,2202.0,11545.0,3555.0,351146.0,4928.0,1061.0,8708.0,61857.0,33561.0,15341.0,762960.0,1669.0,7576.0,785965.0,660587.0,165.0,33791.0,0.0,866103.0,28413.0,809.0,163.0,354.0,270299.0,1053997.0,773394.0,143888.0,99149.0,1160189.0,2963.0,206336.0,536796.0,48652.0,2176.0,303244.0,890941.0,2334.0,495.0,1463.0,807265.0,775.0,214.0,5173819.0,397084.0,4.0,6406.0,5792.0,1428238.0,426564.0,1314191.0,44661.0,316.0
2019_08,1892.0,1.0,1101198.0,19187.0,60334.0,27885.0,2887.0,56591.0,1640.0,108220.0,219926.0,36651.0,464794.0,21046.0,2835394.0,8140904.0,24419.0,1008427.0,1701.0,3669.0,0.0,4745.0,9805.0,2013.0,12375.0,4934.0,363994.0,4659.0,948.0,6954.0,58895.0,31531.0,15974.0,761663.0,1616.0,6898.0,754824.0,661142.0,161.0,34075.0,0.0,813606.0,26891.0,786.0,124.0,289.0,263789.0,1042460.0,763469.0,126057.0,101713.0,641861.0,2922.0,200756.0,526473.0,47742.0,2120.0,303413.0,875866.0,2290.0,459.0,1432.0,763030.0,743.0,354.0,5153868.0,400204.0,7.0,6294.0,5598.0,1382542.0,415569.0,1532596.0,42155.0,338.0
2019_09,1754.0,2.0,1067620.0,18045.0,56535.0,26740.0,2702.0,52408.0,1294.0,103259.0,209967.0,31443.0,434089.0,18908.0,2723505.0,7743809.0,17279.0,967669.0,1375.0,3369.0,0.0,4431.0,9096.0,1839.0,11454.0,10051.0,327196.0,4253.0,944.0,5153.0,53127.0,30025.0,14861.0,723717.0,1604.0,6648.0,726625.0,616706.0,151.0,31824.0,0.0,767917.0,25678.0,761.0,136.0,271.0,255816.0,1004264.0,724885.0,129678.0,98425.0,502088.0,2861.0,195283.0,479201.0,46553.0,2047.0,292496.0,817405.0,2123.0,456.0,1158.0,697609.0,717.0,984.0,4968708.0,376470.0,0.0,4919.0,5404.0,1308418.0,395616.0,1922525.0,40701.0,298.0
2019_10,1867.0,1.0,1165520.0,20352.0,61927.0,29064.0,2818.0,54300.0,1631.0,111323.0,215925.0,33525.0,466218.0,20443.0,2923445.0,8259098.0,15280.0,1039855.0,1502.0,3663.0,0.0,4622.0,8833.0,1809.0,12519.0,25378.0,355809.0,4343.0,1039.0,5192.0,52669.0,33221.0,16395.0,787467.0,1544.0,7068.0,789015.0,647414.0,147.0,34735.0,1.0,869151.0,27133.0,824.0,160.0,288.0,281125.0,1083747.0,776254.0,142545.0,110318.0,504800.0,3196.0,219069.0,342869.0,49346.0,2308.0,320116.0,898107.0,2278.0,470.0,1356.0,726371.0,777.0,7196.0,5405232.0,405589.0,4.0,4704.0,5849.0,1392330.0,422874.0,19164940.0,44899.0,288.0
2019_11,1582.0,0.0,1075138.0,16664.0,57863.0,26555.0,2451.0,49211.0,1527.0,104133.0,197570.0,30275.0,434902.0,17544.0,2745898.0,7719053.0,12586.0,954563.0,1246.0,3472.0,0.0,4186.0,7789.0,1260.0,11138.0,42749.0,326644.0,3857.0,864.0,4449.0,47029.0,29563.0,15021.0,729227.0,1290.0,6106.0,715820.0,604198.0,124.0,30472.0,0.0,736293.0,24278.0,675.0,134.0,229.0,253643.0,1008306.0,721648.0,118437.0,98042.0,458515.0,2580.0,190154.0,468995.0,42357.0,1814.0,305523.0,804072.0,1768.0,446.0,1303.0,619583.0,650.0,31530.0,5063190.0,372173.0,5.0,4084.0,5278.0,1269275.0,393981.0,7949417.0,39535.0,268.0
2019_12,1758.0,1.0,1106187.0,19267.0,65397.0,28686.0,2616.0,51562.0,1495.0,112209.0,203861.0,28786.0,431646.0,17316.0,2952444.0,8336226.0,12421.0,1042859.0,1390.0,3760.0,0.0,4385.0,8370.0,1065.0,12652.0,88853.0,369920.0,4147.0,934.0,4816.0,49196.0,32677.0,15674.0,780911.0,1572.0,6880.0,781559.0,607583.0,126.0,26062.0,0.0,911648.0,27044.0,772.0,122.0,152.0,280141.0,1089696.0,775562.0,138655.0,107801.0,480529.0,2806.0,210353.0,470360.0,46940.0,2218.0,336854.0,824825.0,2059.0,405.0,1365.0,652172.0,682.0,72640.0,5483453.0,385119.0,7.0,4269.0,6073.0,1374927.0,421227.0,3915577.0,43374.0,298.0
