NDC,count,mean,std,min,25%,50%,75%,max
186108805,2167.0,0.4820059837836007,0.5377329376065804,-0.9229444647186271,0.32553681763935427,0.7314698689528826,0.8485770678054687,1.0
186109005,2167.0,0.4938910944011168,0.5512135806542897,-0.9331445197855931,0.3258613608860498,0.7542159969115108,0.8705790450668072,1.0
186109205,2167.0,0.49628616553449395,0.5539814228822583,-0.9369020354922797,0.32957650613199996,0.7585993580857175,0.8748466460126414,1.0
186109405,2167.0,0.501167845380038,0.561113187429758,-0.944619261692726,0.3180131573899537,0.7681532416559409,0.8844777458525318,1.0
186198804,2167.0,0.42729030903816817,0.4646674825020956,-0.8326546280736609,0.31049645603932957,0.6436170346643966,0.7354805947067773,1.0
186198904,2167.0,0.4266060050038005,0.4603282655346779,-0.8796071881458755,0.32798444119417675,0.6205540658345887,0.7299456892853121,1.0
186199004,2167.0,0.42184879831365424,0.5340910605256002,-0.9276331790983563,0.14271295275495774,0.6794212860652675,0.809797711160269,1.0
186401001,2167.0,0.20390266110627073,0.2788061958147687,-0.6581607321190989,0.03022432234595089,0.24277017291723907,0.39029271924978076,1.0
186402001,2167.0,0.3818070686309561,0.38432312991789147,-0.8336078653451412,0.2560107895750222,0.5242433691270442,0.6435024189512715,1.0
186402501,2167.0,-0.23494930693698496,0.3540386391608995,-0.7768193642700287,-0.4930751922127267,-0.3586260479209904,-0.043103350823449044,1.0
186404001,2167.0,0.5257848555601777,0.5657240422973834,-0.9587722592423886,0.3464292139438085,0.8030359864400507,0.9140119887235972,1.0
186405001,2167.0,-0.34008802638919755,0.47112969671645577,-0.8957190926150911,-0.6898525793108383,-0.5460978461731053,-0.0843527384610038,1.0
186502031,2167.0,0.5155888958670989,0.5932926171530711,-0.9750386781770535,0.26647653967162593,0.8385323158375982,0.9305381953141011,1.0
186502054,2167.0,0.5072440745927201,0.5899289505788583,-0.9684393623924041,0.24936528334303454,0.8246195505437717,0.9225195679056917,1.0
186502082,2167.0,0.4453650039106947,0.5532340477012883,-0.9457318909764911,0.15435867763790484,0.7218189958443264,0.8500740353175165,1.0
186504031,2167.0,0.4824741213061341,0.5781307411392771,-0.9498888129909286,0.21554899215960965,0.7824250725289619,0.8991566659643805,1.0
186504054,2167.0,0.4780705403683478,0.5724270443664046,-0.9438831505355656,0.20192900252800253,0.7763523627690997,0.8907113886146756,1.0
186504082,2167.0,0.4478319314497674,0.5560109005934306,-0.9567528856056172,0.15600032983797357,0.7224614738130236,0.8596975320941367,1.0
187006301,2167.0,0.4845886296022002,0.5592514330929953,-0.9277507685146184,0.20508993487117846,0.7827304963392208,0.8881791574518852,1.0
187006401,2167.0,0.5179443231054354,0.5567869651262021,-0.9589596497859837,0.3586797265469719,0.7931608972690795,0.8866835334319497,1.0
187006501,2167.0,0.49063231371807453,0.5627199126037852,-0.9275054387723017,0.21842861837462604,0.7934296278474854,0.8941402458540783,1.0
187014090,2167.0,0.47514469786973956,0.5252942902472187,-0.8559349742635957,0.25988416068344566,0.7515952954099223,0.8404014024080735,1.0
187014130,2167.0,0.5058970972342041,0.5689330124397441,-0.9286087495593826,0.27486542803135616,0.8091662539011796,0.8974723936034796,1.0
187014190,2167.0,0.512548341836019,0.5907712037969037,-0.9688839264090376,0.2517750653385796,0.8285626736947879,0.9243302408564955,1.0
187014230,2167.0,0.5251401414480834,0.594490002180208,-0.9738122620412314,0.28532687731259554,0.8454462430800523,0.9365293846460034,1.0
187014290,2167.0,0.4937556267153273,0.5519503049021678,-0.9086595612683116,0.2789460536183629,0.78575391477765,0.8714317015747216,1.0
187014310,2167.0,0.46488556676908743,0.522005004304283,-0.9108836532580374,0.2602452944308523,0.7216512477473894,0.8331762373946165,1.0
187014330,2167.0,0.4005252530772653,0.44428021950754154,-0.8802063600284112,0.26607002594527684,0.5679884624600179,0.7082189310168012,1.0
187014390,2167.0,0.5033633961158387,0.5774274645757261,-0.9500500752038441,0.27195360956412207,0.8087473993605434,0.9033910909843672,1.0
187014601,2167.0,0.452517442029034,0.5446585164203436,-0.9116797115432884,0.17504456613102237,0.7370654348693434,0.8461006383765115,1.0
187019201,2167.0,0.4000683111904054,0.44327714347275887,-0.8404594607627716,0.21890792236082252,0.6199568662307781,0.7104298445085735,1.0
187065042,2167.0,0.46794884217139776,0.5698015131008702,-0.9459603353610458,0.19678562300065086,0.759966211987042,0.8814387946707076,1.0
187073030,2167.0,0.4917344380732582,0.5562494916033563,-0.9099631030096837,0.24531720362474566,0.7794559943969784,0.8901636917288689,1.0
187073090,2167.0,0.517010666897597,0.579637692489748,-0.954356560841724,0.2749461310874908,0.8247653660041685,0.9184530031121714,1.0
187073130,2167.0,0.4999591087719038,0.5623366092193844,-0.9232404708113569,0.26772735364575306,0.7904685376868746,0.9009641760316245,1.0
187077147,2167.0,0.4435040515761617,0.47008258619271787,-0.7957758024334621,0.3033165362135978,0.678055031513306,0.756697571219637,1.0
187077247,2167.0,0.49798260099643193,0.543868318062121,-0.8881871926941382,0.27709024129848636,0.7777078405138401,0.8743108864170588,1.0
187079247,2167.0,0.24306853274338605,0.31809950157092287,-0.5752603410565708,0.06681533979099727,0.39411816311362463,0.478390212102771,1.0
187079530,2167.0,0.5221200434260449,0.568967846734391,-0.9399068052039451,0.3306477958727344,0.8068622382832743,0.9169299572910622,1.0
187079542,2167.0,0.511934011088319,0.5802031068239869,-0.947064524956815,0.25818672529022557,0.8207969458053767,0.9173017308782613,1.0
187079630,2167.0,0.12168454227539814,0.25525173754228847,-0.7800301355151344,-0.042681509271371224,0.15949846787051172,0.2831953738404872,1.0
187079730,2167.0,0.43031490033241365,0.48423726373889653,-0.8538490302563025,0.2272576477118259,0.6613310676747477,0.7718658971383305,1.0
187079742,2167.0,0.482373761754746,0.5650699920111681,-0.9290030411541713,0.20540456687434638,0.7780907043813065,0.8903057435350805,1.0
187079942,2167.0,0.43471853694904106,0.5509900133003712,-0.9583634600090628,0.14086648223673304,0.7013073002182761,0.8449861583417786,1.0
187093801,2167.0,0.4306552149383743,0.5489596950351107,-0.9440713671497898,0.13884162323615545,0.692690608135204,0.8335886083123377,1.0
187099395,2167.0,0.3967655103976853,0.5140810954963022,-0.9350860507256966,0.10469211924882177,0.6327773949390697,0.783472265528794,1.0
