,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.125,1090.0
2014-10-01,0.13690476190476192,1194.0
2014-11-01,0.0,0.0
2014-12-01,0.16279069767441862,1420.0
2015-01-01,0.3872832369942196,3377.0
2015-02-01,0.022099447513812154,193.0
2015-03-01,0.15934065934065933,1389.0
2015-04-01,0.08196721311475409,715.0
2015-05-01,0.0273224043715847,238.0
2015-06-01,0.18181818181818182,1585.0
2015-07-01,0.1693121693121693,1476.0
2015-08-01,0.005291005291005291,46.0
2015-09-01,0.07368421052631578,643.0
2015-10-01,0.16751269035532995,1461.0
2015-11-01,0.009615384615384616,84.0
2015-12-01,0.10952380952380952,955.0
2016-01-01,0.34418604651162793,3001.0
2016-02-01,0.027777777777777776,242.0
2016-03-01,0.14746543778801843,1286.0
2016-04-01,0.11894273127753303,1037.0
2016-05-01,0.017316017316017316,151.0
2016-06-01,0.12121212121212122,1057.0
2016-07-01,0.16379310344827586,1428.0
2016-08-01,0.08583690987124463,748.0
2016-09-01,0.08547008547008547,745.0
2016-10-01,0.08547008547008547,745.0
2016-11-01,0.01282051282051282,112.0
2016-12-01,0.07692307692307693,671.0
2017-01-01,0.0,0.0
2017-02-01,0.4090909090909091,3567.0
2017-03-01,0.029045643153526972,253.0
2017-04-01,0.04065040650406504,354.0
2017-05-01,0.16733067729083664,1459.0
2017-06-01,0.023529411764705882,205.0
2017-07-01,0.1576923076923077,1375.0
2017-08-01,0.16030534351145037,1398.0
2017-09-01,0.011406844106463879,99.0
2017-10-01,0.03759398496240601,328.0
2017-11-01,0.12867647058823528,1122.0
2017-12-01,0.007194244604316547,63.0
2018-01-01,0.10676156583629894,931.0
2018-02-01,0.45,3924.0
2018-03-01,0.014285714285714285,125.0
2018-04-01,0.0673758865248227,588.0
2018-05-01,0.04529616724738676,395.0
2018-06-01,0.017241379310344827,150.0
2018-07-01,0.044673539518900345,390.0
2018-08-01,0.11379310344827587,992.0
2018-09-01,0.02054794520547945,179.0
2018-10-01,0.030508474576271188,266.0
2018-11-01,0.006779661016949152,59.0
2018-12-01,0.013422818791946308,117.0
2019-01-01,0.07666666666666666,669.0
2019-02-01,0.3848684210526316,3356.0
2019-03-01,0.10097719869706841,881.0
2019-04-01,0.022950819672131147,200.0
2019-05-01,0.06514657980456026,568.0
2019-06-01,0.003246753246753247,28.0
2019-07-01,0.054140127388535034,472.0
2019-08-01,0.15434083601286175,1346.0
2019-09-01,0.006349206349206349,55.0
2019-10-01,0.006211180124223602,54.0
2019-11-01,0.042682926829268296,372.0
2019-12-01,0.01818181818181818,159.0
2020-01-01,0.012084592145015106,105.0
2020-02-01,0.5757575757575758,5021.0
2020-03-01,0.012012012012012012,105.0
2020-04-01,0.02702702702702703,236.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.18543046357615894,1617.0
2020-10-01,0.0,0.0
2020-11-01,0.033112582781456956,289.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.7615894039735099,6641.0
2021-03-01,0.013245033112582781,115.0
2021-04-01,0.006622516556291391,58.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
