Class,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions
ONCOLOGICS,2015,1,,130.0,57.0,3377.0,0.43846153846153846,0.3872832369942196,497.4023922181151,1341.0011111067765,752.5455578167616
ONCOLOGICS,2015,2,,130.0,2.0,193.0,0.015384615384615385,0.022099447513812157,495.9008768442253,1329.322524349748,774.1216472269383
ONCOLOGICS,2015,3,,130.0,18.0,1389.0,0.13846153846153847,0.15934065934065933,501.10667580798474,1319.030086316239,773.8119610457817
ONCOLOGICS,2015,4,,130.0,14.0,715.0,0.1076923076923077,0.08196721311475409,506.9201113066079,1385.7837951587192,788.7071300191982
ONCOLOGICS,2015,5,,130.0,4.0,238.0,0.03076923076923077,0.0273224043715847,505.38525423642676,1370.5304969664064,780.1010364768533
ONCOLOGICS,2015,6,,130.0,33.0,1585.0,0.25384615384615383,0.18181818181818185,512.9027838187407,1374.592682632178,783.372874757375
ONCOLOGICS,2015,7,,130.0,23.0,1476.0,0.17692307692307693,0.1693121693121693,503.09207498008874,1388.3161075923874,764.5800062655403
ONCOLOGICS,2015,8,0.09210799405739094,130.0,0.0,46.0,0.0,0.005291005291005291,500.64681237278865,1357.4329950882711,780.4895091208972
ONCOLOGICS,2015,9,0.0991992020438809,130.0,10.0,643.0,0.07692307692307693,0.07368421052631577,511.7265168497784,1342.9589850459356,798.1203245939522
ONCOLOGICS,2015,10,0.10109439725705524,130.0,25.0,1461.0,0.19230769230769232,0.16751269035532995,526.1086520500038,1368.5995501669422,803.122121863147
ONCOLOGICS,2015,11,0.100965533771873,130.0,0.0,84.0,0.0,0.009615384615384616,520.1391187877214,1371.2848882435562,789.9336523231723
ONCOLOGICS,2015,12,0.09733342008815817,130.0,17.0,955.0,0.13076923076923078,0.10952380952380952,515.9548316366844,1360.2781274499985,790.6237310068058
ONCOLOGICS,2016,1,0.07760849638120045,130.0,57.0,3001.0,0.43846153846153846,0.34418604651162793,510.7688569764505,1322.4365024904675,797.9652919878937
ONCOLOGICS,2016,2,0.07726109372695875,130.0,2.0,242.0,0.015384615384615385,0.027777777777777776,519.3379417424198,1353.2640339706825,815.587158088752
ONCOLOGICS,2016,3,0.08179602729795167,130.0,21.0,1286.0,0.16153846153846155,0.14746543778801846,524.0941202114346,1361.9234535387618,818.222816688554
