Class,Date,Year,Month,Y/Y Percent change,# drugs,# price changes,# price changes prediction,Percent # price changes,Percent # price changes prediction,TRx weighted WAC,Sales weighted WAC,Sales weighted WAC predictions,Sales weighted WAC actual predictions
ONCOLOGICS,2015-01-01,2015,1,,101.0,38.0,3377.0,0.37623762376237624,0.3872832369942196,418.283366215802,773.5442499442436,750.069984773788,773.5442499442436
ONCOLOGICS,2015-02-01,2015,2,,101.0,1.0,193.0,0.009900990099009901,0.022099447513812157,415.08871317715244,781.3515372368128,772.3339422688084,781.3515372368128
ONCOLOGICS,2015-03-01,2015,3,,101.0,18.0,1389.0,0.1782178217821782,0.15934065934065933,424.11265728671395,777.3343348599608,772.6059193593602,777.3343348599608
ONCOLOGICS,2015-04-01,2015,4,,101.0,5.0,715.0,0.04950495049504951,0.08196721311475409,420.88585726834907,782.359786683796,787.8830421941657,782.359786683796
ONCOLOGICS,2015-05-01,2015,5,,101.0,4.0,238.0,0.039603960396039604,0.0273224043715847,419.62798539477694,765.6683463688327,779.8707008432377,765.6683463688327
ONCOLOGICS,2015-06-01,2015,6,,101.0,32.0,1585.0,0.31683168316831684,0.18181818181818185,426.332098158369,771.67836512123,783.6188773684681,771.67836512123
ONCOLOGICS,2015-07-01,2015,7,,101.0,17.0,1476.0,0.16831683168316833,0.1693121693121693,414.3833242119494,747.9942310014694,765.3275660753856,747.9942310014694
ONCOLOGICS,2015-08-01,2015,8,0.09210799405739094,101.0,0.0,46.0,0.0,0.005291005291005291,418.65821311027753,766.3914277756317,781.1669143407668,766.3914277756317
ONCOLOGICS,2015-09-01,2015,9,0.0991992020438809,101.0,9.0,643.0,0.0891089108910891,0.07368421052631577,434.04878051513884,795.1351253204455,798.7446960724194,795.1351253204455
ONCOLOGICS,2015-10-01,2015,10,0.10109439725705524,101.0,25.0,1461.0,0.24752475247524752,0.16751269035532995,445.6603783537204,806.4212935456702,803.6972996094435,806.4212935456702
ONCOLOGICS,2015-11-01,2015,11,0.100965533771873,101.0,0.0,84.0,0.0,0.009615384615384616,440.80287160532015,799.9166403090143,790.386322164149,799.9166403090143
ONCOLOGICS,2015-12-01,2015,12,0.09733342008815817,101.0,10.0,955.0,0.09900990099009901,0.10952380952380952,438.5408284196239,805.5170914551744,790.8355221771742,805.5170914551744
ONCOLOGICS,2016-01-01,2016,1,0.07760849638120045,101.0,51.0,3001.0,0.504950495049505,0.34418604651162793,443.29730673258945,814.0545217126943,798.2969182184169,814.0545217126943
ONCOLOGICS,2016-02-01,2016,2,0.07726109372695875,101.0,1.0,242.0,0.009900990099009901,0.027777777777777776,437.26155008261446,813.2205096396192,815.6218839208052,813.2205096396192
ONCOLOGICS,2016-03-01,2016,3,0.08179602729795167,101.0,21.0,1286.0,0.2079207920792079,0.14746543778801846,441.6447428161601,810.5902097631623,817.7448484031347,810.5902097631623
ONCOLOGICS,2016-04-01,2016,4,0.08227428220357902,101.0,13.0,1037.0,0.12871287128712872,0.11894273127753305,446.8270134549635,817.2435656005704,815.3332894534088,817.2435656005704
ONCOLOGICS,2016-05-01,2016,5,0.08147465177750561,101.0,0.0,151.0,0.0,0.017316017316017316,452.81416035822275,822.1881258780227,833.1912868903273,822.1881258780227
ONCOLOGICS,2016-06-01,2016,6,0.08090782850839005,101.0,24.0,1057.0,0.2376237623762376,0.12121212121212123,453.89675802058616,823.9975784129145,829.4475634442063,823.9975784129145
ONCOLOGICS,2016-07-01,2016,7,0.09463850745163174,101.0,29.0,1428.0,0.2871287128712871,0.16379310344827586,454.7181036427809,836.4631092286351,829.3457839407213,836.4631092286351
ONCOLOGICS,2016-08-01,2016,8,0.09855773984921784,101.0,20.0,748.0,0.19801980198019803,0.08583690987124462,459.2196964840926,841.962922670824,837.9840013713443,841.962922670824
ONCOLOGICS,2016-09-01,2016,9,0.08656183052337871,101.0,3.0,745.0,0.0297029702970297,0.08547008547008547,463.570372652252,840.612250395514,823.9706180567332,840.612250395514
ONCOLOGICS,2016-10-01,2016,10,0.08061332398576386,101.0,10.0,745.0,0.09900990099009901,0.08547008547008547,472.3915015952673,854.6126799431898,846.8614900355002,854.6126799431898
ONCOLOGICS,2016-11-01,2016,11,0.08089134436558915,101.0,0.0,112.0,0.0,0.01282051282051282,468.84626243126297,840.2833326799965,841.8013606521511,840.2833326799965
ONCOLOGICS,2016-12-01,2016,12,0.08033488474825279,101.0,6.0,671.0,0.0594059405940594,0.07692307692307693,462.09530428810393,844.7028678460365,844.1721706469849,844.7028678460365
ONCOLOGICS,2017-01-01,2017,1,0.05332337906730438,101.0,0.0,0.0,0.0,0.0,460.6442931395736,830.0126496937382,842.8279526195828,830.0126496937382
ONCOLOGICS,2017-02-01,2017,2,0.0919081505991116,101.0,61.0,3567.0,0.6039603960396039,0.4090909090909091,488.4047063745884,864.3881869341602,875.1359700817524,864.3881869341602
ONCOLOGICS,2017-03-01,2017,3,0.08279464438715094,101.0,2.0,253.0,0.019801980198019802,0.02904564315352697,492.72057121767267,868.5648864973842,867.3985803075684,868.5648864973842
ONCOLOGICS,2017-04-01,2017,4,0.06383751146352967,101.0,1.0,354.0,0.009900990099009901,0.04065040650406504,497.06629676002314,878.8086694424306,872.8798794693739,878.8086694424306
ONCOLOGICS,2017-05-01,2017,5,0.08362599008488537,101.0,21.0,1459.0,0.2079207920792079,0.16733067729083664,500.4798690213415,884.4611547627275,886.9217124674884,884.4611547627275
ONCOLOGICS,2017-06-01,2017,6,0.07950888141057437,101.0,0.0,205.0,0.0,0.023529411764705882,493.38261080812356,871.0503246049395,890.508580898371,871.0503246049395
ONCOLOGICS,2017-07-01,2017,7,0.06787276327685059,101.0,27.0,1375.0,0.26732673267326734,0.1576923076923077,483.0066154990524,867.6670000348807,888.9724358746704,867.6670000348807
ONCOLOGICS,2017-08-01,2017,8,0.08515805268401959,101.0,28.0,1398.0,0.27722772277227725,0.16030534351145034,505.20043142357656,915.8831292018359,904.6849927012275,915.8831292018359
ONCOLOGICS,2017-09-01,2017,9,0.08531905196613704,99.0,0.0,99.0,0.0,0.01140684410646388,505.99943099424894,898.6007123684993,906.1741978129222,898.6007123684993
ONCOLOGICS,2017-10-01,2017,10,0.08573787912610306,100.0,4.0,328.0,0.04,0.03759398496240601,526.0298961106816,933.3418426587535,928.0224465228964,933.3418426587535
ONCOLOGICS,2017-11-01,2017,11,0.09745937324563207,100.0,24.0,1122.0,0.24,0.12867647058823528,520.4243471670998,933.4919169173318,925.0504043418297,933.4919169173318
ONCOLOGICS,2017-12-01,2017,12,0.09722721782143236,101.0,0.0,63.0,0.0,0.007194244604316547,516.0389569728949,933.1960415685123,931.4136945737332,933.1960415685123
ONCOLOGICS,2018-01-01,2018,1,0.09872545074405337,101.0,15.0,931.0,0.1485148514851485,0.10676156583629894,515.1933883542982,936.3118487287093,937.8871415030687,936.3118487287093
ONCOLOGICS,2018-02-01,2018,2,0.11876573183877913,101.0,46.0,3924.0,0.45544554455445546,0.45,531.935687594621,961.6042066913593,970.039537251005,961.6042066913593
ONCOLOGICS,2018-03-01,2018,3,0.11699540541759128,101.0,0.0,125.0,0.0,0.014285714285714284,537.9067193709429,964.7344499860911,969.831176316801,964.7344499860911
