date,yhat,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
2015-01-01,7.0330747506666516,7.144503602850853,6.975684238097726,7.0835727770935835,7.144503602850853,7.144503602850853,-0.11142885218420145,-0.11142885218420145,-0.11142885218420145,-0.11142885218420145,-0.11142885218420145,-0.11142885218420145,0.0,0.0,0.0
2015-02-01,7.1611600084372675,7.107636267914692,7.109997305144988,7.21907670187243,7.107636267914692,7.107636267914692,0.053523740522575934,0.053523740522575934,0.053523740522575934,0.053523740522575934,0.053523740522575934,0.053523740522575934,0.0,0.0,0.0
2015-03-01,7.0769464687910215,7.074336739585256,7.021644953277207,7.126607125387737,7.074336739585256,7.074336739585256,0.0026097292057656258,0.0026097292057656258,0.0026097292057656258,0.0026097292057656258,0.0026097292057656258,0.0026097292057656258,0.0,0.0,0.0
2015-04-01,7.071156196350328,7.0374694046456705,7.0199686942716735,7.1232429441299985,7.0374694046456705,7.0374694046456705,0.033686791704657874,0.033686791704657874,0.033686791704657874,0.033686791704657874,0.033686791704657874,0.033686791704657874,0.0,0.0,0.0
2015-05-01,6.980464922734501,7.001791338575103,6.925341641336322,7.027543200162699,7.001791338575103,7.001791338575103,-0.021326415840602277,-0.021326415840602277,-0.021326415840602277,-0.021326415840602277,-0.021326415840602277,-0.021326415840602277,0.0,0.0,0.0
2015-06-01,7.0033565086559895,6.965004479100365,6.951939255971792,7.0562043515546335,6.965004479100365,6.965004479100365,0.03835202955562437,0.03835202955562437,0.03835202955562437,0.03835202955562437,0.03835202955562437,0.03835202955562437,0.0,0.0,0.0
2015-07-01,7.008534187968909,6.929404292511908,6.950625485021947,7.059808492847863,6.929404292511908,6.929404292511908,0.07912989545700136,0.07912989545700136,0.07912989545700136,0.07912989545700136,0.07912989545700136,0.07912989545700136,0.0,0.0,0.0
2015-08-01,6.953633670121529,6.90356767303877,6.898012795250769,7.002573215214501,6.90356767303877,6.90356767303877,0.05006599708275897,0.05006599708275897,0.05006599708275897,0.05006599708275897,0.05006599708275897,0.05006599708275897,0.0,0.0,0.0
2015-09-01,6.943059752389877,6.877731053565633,6.891481556599128,6.9972383500306785,6.877731053565633,6.877731053565633,0.06532869882424498,0.06532869882424498,0.06532869882424498,0.06532869882424498,0.06532869882424498,0.06532869882424498,0.0,0.0,0.0
2015-10-01,6.902186214339987,6.852747205178598,6.848526890559189,6.957969581358772,6.852747205178598,6.852747205178598,0.0494390091613894,0.0494390091613894,0.0494390091613894,0.0494390091613894,0.0494390091613894,0.0494390091613894,0.0,0.0,0.0
