Date,A.C.T.H.,A05A1 CHOLERETICS+CHOLEKINETIC,ADHD,ALL OTHER RESPIRATORY,ALL OTHER THERAPEUTICS,ALL OTHER UROLOGICAL,"ALLERGY, SYSTEMIC & NASAL",ANTI-ALZHEIMERS,"ANTI-ANAEMICS, IRON AND ALL COMBINATIONS",ANTI-INFLAMMATORY AND DIGESTIVE ENZYMES AND MODULA,"ANTI-OBESITY PREPS, EXCL. DIETETICS","ANTI-PARASITICS, ANTIMALARIALS, INSECTICIDES",ANTI-ULCERANTS,ANTIBACTERIALS,ANTICOAGULANTS,ANTIDIABETICS,ANTIGOUT PREPS,"ANTIHYPERTENSIVES, PLAIN & COMBO",ANTITUBERCULARS,"ANTIVIRALS, HERPES",BISPHOSPHONATES TUMOR-RELATED & BONY METASTASES,BLOOD COAGULATION,BPH (BENIGN PROSTATIC HYPERTROPHY),"CANCER DETOX AG, ANTI-NAUSEANTS","CORTICOSTEROIDS, PLAIN & COMBO","COUGH COLD, INCL FLU ANTIVIRALS",DERMATOLOGICS,DIAGNOSTIC EQUIP & ACCESSORIES & ALLERGEN TESTS,DIETETICS,EAR TREATMENTS&EYE-EAR COMBOS,ERECTILE DYSFUNCTION,ERYTHROPOIETINS,GENITO-URINARY ANTIBACTERIALS & ANTISEPTICS & ANTI,GI PRODUCTS,GROWTH HORMONES,HEMATOPOIETIC GROWTH FACTORS,HIV ANTIVIRALS,"HORMONAL CONTRACEPTION, SYSTEMIC&TOPICAL",HOSPITAL SOLUTIONS,HYPOTHALAMIC HORMONES,IMAGING,IMMUNOLOGY,IMMUNOSUPPRESSANTS,"INTERFERONS, EXCL MS MARKET",J07D6 TUBERCULOSIS VACCINES,LABOUR INDUCERS,LIPID REGULATORS,MENTAL HEALTH,MIOTICS+ANTIGLAUCOMA PREPS,MULTIPLE SCLEROSIS,"NASAL PREPS, TOPICAL",NERVOUS SYSTEM DISORDERS,OCULAR ANTINEOVASCULARISATION,ONCOLOGICS,"OPHTHALMOLOGY, GENERAL",OSTEOPOROSIS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER CARDIOVASCULARS,OTHER CNS,OTHER HAEMATOLOGICALS,OTHER HORMONES,OTHER WOMEN'S HEALTH,PAIN,POLYVAL IMMUNOGLOBLULINS IV&IM,RESP ANTIVIRALS EX FLU,RESPIRATORY AGENTS,"SEX HORMONES (ANDROGENS, OESTROGENS, PROGESTOGENS,",SPEC IMMUNOGLOBULINS & ANTITOXIC SERA,SYST ANTIFUNGALS,THROMBOPOIETIN AGONISTS,THYROID ANTI-THYROID AND IODINE PREPS,URINARY INCONTINENCE,"VACCINES (PURE, COMB, OTHER)",VIRAL HEPATITIS,VITAMINS & MINERALS
2015_09,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,7.0,,,9.0,7.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2015_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,23.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,5.0,0.0,33.0,0.0,6.0,0.0,9.0,13.0,0.0,0.0,0.0,20.0,,,3.0,3.0,,0.0,1.0,3.0,6.0,26.0,0.0,0.0
2015_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2015_12,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,5.0,48.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,13.0,0.0,14.0,0.0,24.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,10.0,,,2.0,0.0,,0.0,0.0,23.0,0.0,20.0,0.0,0.0
2016_01,0.0,0.0,33.0,0.0,15.0,0.0,2.0,29.0,0.0,0.0,1.0,8.0,14.0,62.0,58.0,27.0,2.0,134.0,2.0,12.0,1.0,1.0,3.0,13.0,30.0,1.0,44.0,1.0,0.0,0.0,15.0,31.0,4.0,22.0,1.0,3.0,52.0,20.0,0.0,12.0,0.0,21.0,25.0,1.0,0.0,0.0,60.0,135.0,20.0,8.0,7.0,153.0,0.0,73.0,12.0,3.0,8.0,24.0,55.0,3.0,8.0,0.0,82.0,,,56.0,24.0,,17.0,3.0,8.0,19.0,2.0,5.0,0.0
2016_02,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,6.0,,,3.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2016_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,32.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,0.0,13.0,17.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,11.0,0.0,27.0,4.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,,,12.0,4.0,,2.0,0.0,0.0,0.0,3.0,0.0,0.0
2016_05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2016_06,0.0,0.0,7.0,2.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,8.0,35.0,16.0,11.0,0.0,59.0,2.0,0.0,0.0,1.0,2.0,8.0,30.0,1.0,19.0,3.0,0.0,0.0,18.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,12.0,12.0,0.0,0.0,0.0,55.0,43.0,1.0,1.0,0.0,28.0,0.0,29.0,1.0,4.0,3.0,8.0,19.0,0.0,0.0,0.0,24.0,,,12.0,19.0,,8.0,4.0,5.0,2.0,0.0,0.0,0.0
