,Percentage of drugs change price,Number
2014-08-01,0.0,0.0
2014-09-01,0.08108108108108109,193.0
2014-10-01,0.025,60.0
2014-11-01,0.425,1012.0
2014-12-01,0.075,178.0
2015-01-01,0.20454545454545456,487.0
2015-02-01,0.0,0.0
2015-03-01,0.15555555555555556,370.0
2015-04-01,0.1956521739130435,466.0
2015-05-01,0.1956521739130435,466.0
2015-06-01,0.08695652173913043,207.0
2015-07-01,0.30434782608695654,724.0
2015-08-01,0.1956521739130435,466.0
2015-09-01,0.2391304347826087,569.0
2015-10-01,0.043478260869565216,103.0
2015-11-01,0.043478260869565216,103.0
2015-12-01,0.1956521739130435,466.0
2016-01-01,0.45652173913043476,1087.0
2016-02-01,0.08333333333333333,198.0
2016-03-01,0.10416666666666667,248.0
2016-04-01,0.09433962264150944,225.0
2016-05-01,0.018867924528301886,45.0
2016-06-01,0.2222222222222222,529.0
2016-07-01,0.35185185185185186,837.0
2016-08-01,0.0,0.0
2016-09-01,0.018518518518518517,44.0
2016-10-01,0.16666666666666666,397.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.018518518518518517,44.0
2017-02-01,0.5185185185185185,1234.0
2017-03-01,0.12962962962962962,309.0
2017-04-01,0.07272727272727272,173.0
2017-05-01,0.08928571428571429,212.0
2017-06-01,0.08771929824561403,209.0
2017-07-01,0.017543859649122806,42.0
2017-08-01,0.20689655172413793,492.0
2017-09-01,0.0,0.0
2017-10-01,0.015625,37.0
2017-11-01,0.07575757575757576,180.0
2017-12-01,0.0,0.0
2018-01-01,0.015625,37.0
2018-02-01,0.6212121212121212,1478.0
2018-03-01,0.05970149253731343,142.0
2018-04-01,0.014925373134328358,36.0
2018-05-01,0.1044776119402985,249.0
2018-06-01,0.028985507246376812,69.0
2018-07-01,0.028169014084507043,67.0
2018-08-01,0.06666666666666667,159.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.012048192771084338,29.0
2019-01-01,0.0,0.0
2019-02-01,0.7209302325581395,1716.0
2019-03-01,0.06896551724137931,164.0
2019-04-01,0.0,0.0
2019-05-01,0.0,0.0
2019-06-01,0.0,0.0
2019-07-01,0.010869565217391304,26.0
2019-08-01,0.11956521739130435,285.0
2019-09-01,0.0,0.0
2019-10-01,0.0,0.0
2019-11-01,0.010416666666666666,25.0
2019-12-01,0.0,0.0
2020-01-01,0.0,0.0
2020-02-01,0.8350515463917526,1987.0
2020-03-01,0.07216494845360824,172.0
2020-04-01,0.0,0.0
2020-05-01,0.010309278350515464,25.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-01,0.0,0.0
2020-09-01,0.05714285714285714,136.0
2020-10-01,0.0,0.0
2020-11-01,0.0,0.0
2020-12-01,0.0,0.0
2021-01-01,0.0,0.0
2021-02-01,0.9428571428571428,2244.0
2021-03-01,0.0,0.0
2021-04-01,0.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
